shipping_distance_km,order_weight_kg,shipping_mode,warehouse_processing_time_hours,traffic_conditions_index,historical_delays_hours,delivery_time_hours
1903.973588,37.67726144,Sea,24.35904504,8.818097241,67.88024471,172.0350092
4756.035817,33.62475358,Sea,7.032429434,1.590421122,68.00688317,157.1173756
3673.370012,18.02731429,Air,1.344868385,2.498415991,15.21232848,138.8058289
3013.359497,60.92303368,Air,6.873525053,6.229849971,10.61752737,85.41273316
822.2922702,47.92410397,Land,45.94067467,3.091870667,1.30606804,35.90444178
822.1728757,86.63724874,Land,36.9120788,9.409606282,16.65049365,64.86730226
337.5138802,3.694903258,Sea,46.45446739,7.800315228,24.07330376,75.94465629
4337.571922,64.56485879,Air,2.678309356,3.459623616,17.36946962,78.0345288
3025.519308,76.41341341,Land,32.97035898,1.054912701,57.4116581,117.4430269
3554.95926,76.06891363,Land,3.081795741,8.195026521,53.95899595,49.59273355
151.8932468,88.66435973,Air,37.75665404,4.816807386,5.833018417,46.03561452
4851.053768,73.03885741,Sea,18.90465812,6.781399407,50.20715578,146.2229134
4170.591072,92.81710113,Land,5.500971925,3.582773429,37.48212863,11.42510458
1101.078598,33.59933168,Land,27.69819216,2.285859334,9.515959659,38.40869273
950.0335877,50.56933697,Air,14.16564924,7.077804326,53.246551,92.64203563
957.8523238,1.900926497,Air,31.99997527,5.052921293,6.195280693,38.32580156
1555.999103,1.192279937,Sea,31.9342137,3.11652731,12.75484794,192.3643848
2647.544337,24.39259873,Sea,34.13535128,2.238651996,10.74430667,137.3197508
2188.127842,10.53031612,Land,47.6458587,6.22431635,67.6104051,92.22620719
1491.584244,26.39103111,Sea,19.17479237,7.529949462,50.26723223,31.32851609
3078.671829,18.11580781,Land,22.8698273,3.554982659,29.6125869,83.18539513
740.4946102,3.337742471,Land,38.81674995,7.616282818,59.19869886,133.614317
1496.11601,90.97576257,Air,28.18339108,2.648099789,15.54907749,194.0746986
1863.491124,1.318201573,Land,2.751088902,4.04574122,67.03871609,99.81059909
2307.546422,73.74017336,Air,40.62469045,7.703940581,50.1838071,141.5583268
3936.621009,15.63871475,Land,3.420438051,6.941291677,40.28980615,47.11820949
1038.385222,91.26684739,Land,9.028546415,3.434712642,57.21468831,128.4903404
2595.46047,89.33319599,Land,5.797758448,2.099215014,46.42423066,55.42043098
2982.452116,65.56316406,Sea,4.662575245,1.382260825,63.8718678,47.6454699
279.929543,67.38729791,Sea,2.207189139,8.541236619,59.69899153,106.7519067
3057.347017,1.031244626,Air,3.586302557,1.676277546,14.24379636,50.21621651
894.0944123,98.49472083,Land,21.79464189,2.03360637,17.25579364,147.0522302
372.0053853,87.84434406,Air,12.88405669,3.139395672,4.687013792,188.0939523
4746.983409,89.56306946,Air,6.947233521,5.011027338,15.85432204,84.78439945
4829.878564,66.09483144,Land,31.95916051,8.108083722,24.73119828,71.26766665
4051.566873,34.8062994,Sea,11.6272598,3.227322933,2.075569572,43.41812978
1557.838157,89.41804058,Sea,1.890610301,5.891574235,22.67730333,84.17532124
533.4769643,29.50593435,Air,20.66572984,1.813352698,55.5513006,116.3304772
3436.953481,56.48979856,Sea,15.59035062,5.180599046,60.50358706,80.86418847
2228.754844,10.42323175,Land,15.97440827,2.59875094,0.638876879,128.3844815
654.0892625,92.2345852,Land,21.92769132,2.90072403,0.514586755,135.8604488
